weight,regulation,Charged_Content,Factor2,Factor3,Factor4,Factor5,Factor6,Political_Action,Factor8,Negative_Affect,correct_misinformation,bullying,support,deception,accurate_pic,censorship_very_likely,censorship_not_very_likely,censorship_not_at_all_likely,accept_selective_look,selective_vote_reminder,selective_emotion,male,some_college,college_grads,black,asian,mixed_race,other,below_30K,above_75K,very_conservative,conservative,liberal,very_liberal,age_18_29,age_50_64,age_65_up,region,ideology,age,race,income,education,SM6A_W35,SM6B_W35,political identity
0.2959543758,Enough Regulation,1.1662316235478694,0.20063905089073686,0.22547632450481042,0.9243961060827334,0.17009362323791868,-1.0525911385502797,-0.2860306372846887,0.4997832442516241,-1.4720411453294018,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,3,4,1,3,2,3,2,moderate
1.2057203715,Enough Regulation,-0.24108453842192243,0.9435817205048187,-0.17384671802104198,-0.7436228244586961,-0.5685403357813782,1.449510502163999,-0.422902367405998,-0.4735885007037335,-1.4416007982448318,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,2,1,1,1,1,3,moderate
1.565200827,More Regulation,0.6413065870395425,0.5422543004964482,-1.0637762912064477,0.12874565636423527,-1.341300562159763,0.6960321397222683,0.49385335823904986,-0.6034935551540253,0.5244087211347928,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,4,2,5,2,2,3,3,liberal
0.8656059197,More Regulation,0.9953169323303596,0.6772030063776422,1.3471605764858336,-0.10228244496381343,1.5043629761358959,-1.1962934479489504,-0.31424202330072804,-0.673955785308893,0.4535761871002399,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,3,1,2,2,3,2,moderate
0.1712656664,More Regulation,-0.0017236369128573667,-1.1020403456460992,0.9850033663879362,0.3621027598948195,-0.7839400881211227,-0.054307794336974136,1.0216321670916941,-1.2342598756275356,-0.48734752620384486,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,3,5,4,1,1,1,1,2,very liberal
0.1453349031,More Regulation,1.3925813287179618,1.0493976581843119,1.591398992407349,0.11808527238280563,0.19184622602697063,-0.8320529276844054,-0.2802188557378281,0.981445249458905,-1.6594356056317763,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,2,2,3,1,1,1,3,2,conservative
3.675778359,More Regulation,1.3852449015181614,1.0652676597923314,1.668418023324716,-0.4931440385346068,-0.09685429111715815,-1.1322249242052098,1.1924743593732274,1.0600152861426801,0.4004639582674002,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,2,2,1,3,3,2,3,conservative
0.3662603066,Enough Regulation,0.31137960519602104,1.4466078489908245,-0.7233415328230758,-0.40663378560952657,0.2979915850198572,-0.22307620201641656,-0.3427698669880626,-0.15482401746278765,0.5886658892062889,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,2,1,1,1,3,2,moderate
0.2589057887,More Regulation,0.982152966950434,0.9596826298354475,1.5645722672945566,-0.8202893540299142,0.16177394008076162,0.01980993939828759,1.1119305072987369,1.3233098097069917,1.66204471738422,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,4,2,3,4,1,2,2,1,conservative
1.1519324161,More Regulation,1.1303555778206855,-1.0484547077745796,0.13227318273466046,-0.8283555276582855,1.3622013272223936,-0.8988161016810647,-0.09505555193655427,1.8734743837996195,1.3316507004702565,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,4,2,3,1,3,3,2,3,conservative
