TC5_W35,TC6A_W35,TC6B_W35,SNSA_W35,SNSB_W35,SNSE_W35,SM6A_W35,F_SEX_FINAL,F_CREGION_FINAL,F_EDUCCAT_FINAL,F_RACECMB_RECRUITMENT,F_AGECAT_FINAL,F_INCOME_FINAL,F_IDEO_FINAL,SM6B_W35,SM8A_W35,SM8B_W35,SM8C_W35,SM10A_W35,SM10B_W35,SM10C_W35,SM10D_W35,SM10E_W35,SM11_W35,SM3_W35,SM7_W35,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,WEIGHT_W35
3,3,3,1,0,0,3,2,2,2,1,4,3,3,2,2,2,2,2,2,2,1,2,2,1,2,-1.1525580650735865,0.20063905089073686,0.22547632450481042,0.9243961060827334,0.17009362323791868,-1.0525911385502797,-0.2860306372846887,0.4997832442516241,1.4428088119468478,0.2959543758
3,3,1,0,0,0,3,1,4,1,1,4,6,1,3,2,2,2,2,2,2,2,2,2,1,2,-0.11035200965985513,-0.27908065112672226,-0.7004063705449345,0.04002853543891304,-0.20365333085114531,1.3427753248955097,-0.22486570004107873,-0.2019774460432766,1.354725328125032,0.4149505671
3,3,3,1,0,1,1,2,1,1,1,2,8,3,3,2,2,2,2,2,2,2,2,2,2,2,0.2547580968962053,0.9435817205048187,-0.17384671802104198,-0.7436228244586961,-0.5685403357813782,1.449510502163999,-0.422902367405998,-0.4735885007037335,1.4123684648622779,1.2057203715
3,3,3,0,0,0,3,2,1,1,3,3,7,4,3,1,1,2,2,2,2,2,2,2,2,2,2.6190898000928526,0.7496488276824649,-0.6717989854002464,-0.2055225129453,0.5936089853773375,-0.5265286351529612,-0.6410375005512738,-0.16550312390510286,-0.7816884461000669,0.1106958923
1,1,3,1,1,1,3,2,4,2,5,2,6,4,3,2,2,2,2,2,2,2,2,2,2,4,-0.6276330285652596,0.5422543004964482,-1.0637762912064477,0.12874565636423527,-1.341300562159763,0.6960321397222683,0.49385335823904986,-0.6034935551540253,-0.5536410545173468,1.565200827
3,3,3,0,0,0,3,2,4,1,1,3,8,3,3,2,2,1,2,2,2,2,2,2,2,2,0.9020758334132097,-0.3051730033253544,0.4649599516583354,1.4593305488472428,1.49410538474617,2.4432810623769887,-0.3986119339813763,-1.0052941274225853,1.005854045352441,0.2371744651
1,2,1,0,0,0,2,1,1,1,1,2,9,2,1,1,2,2,2,2,2,2,2,2,2,1,-0.970656616996936,1.2417464669727298,0.9563908833725322,-0.948269762618816,0.9985279826809403,0.29511787297632275,-0.577677592838004,0.10675280444341068,-0.5384396729520214,0.1674420905
1,1,1,1,0,0,3,2,3,2,1,3,4,3,2,2,2,2,2,2,2,2,2,2,2,1,-0.9816433738560767,0.6772030063776422,1.3471605764858336,-0.10228244496381343,1.5043629761358959,-1.1962934479489504,-0.31424202330072804,-0.673955785308893,-0.4828085204827939,0.8656059197
1,3,3,1,1,1,1,2,3,1,1,4,8,5,2,2,2,2,2,2,1,1,2,1,2,4,0.01539719538714026,-1.1020403456460992,0.9850033663879362,0.3621027598948195,-0.7839400881211227,-0.054307794336974136,1.0216321670916941,-1.2342598756275356,0.4581151928212909,0.1712656664
1,2,1,1,0,0,3,2,2,1,1,3,8,2,2,2,2,2,2,2,2,2,2,2,2,2,-1.378907770243679,1.0493976581843119,1.591398992407349,0.11808527238280563,0.19184622602697063,-0.8320529276844054,-0.2802188557378281,0.981445249458905,1.6302032722492223,0.1453349031
